Choice,Party,,Absentee Votes,Absentee %,,Early Votes,Early %,,Election Day Votes,Election Day %,,Total Votes,Total %,Contest,Precinct,County
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE03,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,8,34.78%,,206,73.57%,,90,69.77%,,304,70.37%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE03,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,14,60.87%,,67,23.93%,,30,23.26%,,111,25.69%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE03,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,1,4.35%,,7,2.50%,,9,6.98%,,17,3.94%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE03,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE03,Wayne
TODD ROKITA,REP,,7,30.43%,,210,76.64%,,100,77.52%,,317,74.41%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE03,Wayne
DESTINY WELLS,DEM,,16,69.57%,,64,23.36%,,29,22.48%,,109,25.59%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE03,Wayne
JEFFERSON SHREVE,REP,,8,34.78%,,208,75.36%,,100,77.52%,,316,73.83%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE03,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,14,60.87%,,59,21.38%,,23,17.83%,,96,22.43%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE03,Wayne
JAMES MICHAEL SCENIAK,LIB,,1,4.35%,,9,3.26%,,6,4.65%,,16,3.74%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE03,Wayne
BRADFORD BARRETT,REP,,13,100.00%,,240,100.00%,,109,100.00%,,362,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
RONALD J. (RON) MOORE,REP,,12,100.00%,,237,100.00%,,103,100.00%,,352,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
TARA PEGG,REP,,12,100.00%,,237,100.00%,,105,100.00%,,354,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
BETH FIELDS,REP,,16,100.00%,,236,100.00%,,105,100.00%,,357,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
R. BRENT MEADOWS,REP,,12,100.00%,,230,100.00%,,102,100.00%,,344,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
GORDON E. MOORE,REP,,12,100.00%,,238,100.00%,,101,100.00%,,351,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
AARON ROBERTS,REP,,12,100.00%,,232,100.00%,,101,100.00%,,345,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
JEFF PLASTERER,REP,,16,100.00%,,232,100.00%,,101,100.00%,,349,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,WAYNE03,Wayne
GERALD (GARY) SAUNDERS,REP,,7,38.89%,,137,36.15%,,58,35.80%,,202,36.14%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE03,Wayne
MAX SMITH,REP,,6,33.33%,,115,30.34%,,53,32.72%,,174,31.13%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE03,Wayne
CATHY C. WILLIAMS,REP,,5,27.78%,,127,33.51%,,51,31.48%,,183,32.74%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE03,Wayne
NICOLE STULTS,,,10,100.00%,,153,100.00%,,65,100.00%,,228,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 1 - Vote for One (1) Only,WAYNE03,Wayne
AUSTIN BRANN,,,7,100.00%,,138,100.00%,,62,100.00%,,207,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 2 - Vote for One (1) Only,WAYNE03,Wayne
CATHY HILLARD,,,8,38.10%,,140,51.66%,,50,46.73%,,198,49.62%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE03,Wayne
AARON L. STEVENS,,,13,61.90%,,131,48.34%,,57,53.27%,,201,50.38%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE03,Wayne
YES,,,11,100.00%,,159,85.95%,,59,76.62%,,229,83.88%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE03,Wayne
NO,,,0,0.00%,,26,14.05%,,18,23.38%,,44,16.12%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE03,Wayne
YES,,,10,100.00%,,140,82.35%,,64,86.49%,,214,84.25%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE03,Wayne
NO,,,0,0.00%,,30,17.65%,,10,13.51%,,40,15.75%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE03,Wayne
YES,,,7,100.00%,,143,83.14%,,64,86.49%,,214,84.58%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE03,Wayne
NO,,,0,0.00%,,29,16.86%,,10,13.51%,,39,15.42%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE03,Wayne
YES,,,7,100.00%,,148,87.57%,,63,82.89%,,218,86.51%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE03,Wayne
NO,,,0,0.00%,,21,12.43%,,13,17.11%,,34,13.49%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE03,Wayne
YES,,,8,88.89%,,141,87.04%,,59,79.73%,,208,84.90%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE03,Wayne
NO,,,1,11.11%,,21,12.96%,,15,20.27%,,37,15.10%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE03,Wayne
YES,,,10,47.62%,,79,41.58%,,45,38.14%,,134,40.73%,PUBLIC QUESTION #1,WAYNE04,Wayne
NO,,,11,52.38%,,111,58.42%,,73,61.86%,,195,59.27%,PUBLIC QUESTION #1,WAYNE04,Wayne
Republican Party,REP,,3,17.65%,,105,61.40%,,61,64.21%,,169,59.72%,STRAIGHT PARTY,WAYNE04,Wayne
Democratic Party,DEM,,14,82.35%,,64,37.43%,,29,30.53%,,107,37.81%,STRAIGHT PARTY,WAYNE04,Wayne
Libertarian Party,LIB,,0,0.00%,,1,0.58%,,2,2.11%,,3,1.06%,STRAIGHT PARTY,WAYNE04,Wayne
We the People Party,WTP,,0,0.00%,,1,0.58%,,3,3.16%,,4,1.41%,STRAIGHT PARTY,WAYNE04,Wayne
DONALD J. TRUMP JD VANCE,REP,,6,17.65%,,148,56.92%,,104,65.00%,,258,56.83%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,28,82.35%,,106,40.77%,,55,34.38%,,189,41.63%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,1,0.38%,,0,0.00%,,1,0.22%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,5,1.92%,,1,0.63%,,6,1.32%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE04,Wayne
JIM BANKS,REP,,8,24.24%,,148,58.96%,,99,63.46%,,255,57.95%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE04,Wayne
VALERIE MCCRAY,DEM,,25,75.76%,,97,38.65%,,53,33.97%,,175,39.77%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE04,Wayne
ANDREW HORNING,LIB,,0,0.00%,,6,2.39%,,4,2.56%,,10,2.27%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE04,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE04,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE04,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,6,18.18%,,141,54.86%,,89,56.69%,,236,52.80%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE04,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,27,81.82%,,112,43.58%,,62,39.49%,,201,44.97%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE04,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,0,0.00%,,4,1.56%,,6,3.82%,,10,2.24%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE04,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE04,Wayne
TODD ROKITA,REP,,7,21.21%,,143,57.20%,,97,62.18%,,247,56.26%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE04,Wayne
DESTINY WELLS,DEM,,26,78.79%,,107,42.80%,,59,37.82%,,192,43.74%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE04,Wayne
JEFFERSON SHREVE,REP,,8,24.24%,,145,58.70%,,97,62.58%,,250,57.47%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE04,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,23,69.70%,,95,38.46%,,52,33.55%,,170,39.08%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE04,Wayne
JAMES MICHAEL SCENIAK,LIB,,2,6.06%,,7,2.83%,,6,3.87%,,15,3.45%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE04,Wayne
BRADFORD BARRETT,REP,,12,100.00%,,168,100.00%,,114,100.00%,,294,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
RONALD J. (RON) MOORE,REP,,11,100.00%,,173,100.00%,,110,100.00%,,294,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
TARA PEGG,REP,,10,100.00%,,171,100.00%,,110,100.00%,,291,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
BETH FIELDS,REP,,10,100.00%,,173,100.00%,,111,100.00%,,294,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
R. BRENT MEADOWS,REP,,11,100.00%,,173,100.00%,,110,100.00%,,294,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
GORDON E. MOORE,REP,,10,100.00%,,170,100.00%,,109,100.00%,,289,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
AARON ROBERTS,REP,,10,100.00%,,170,100.00%,,110,100.00%,,290,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
JEFF PLASTERER,REP,,10,100.00%,,172,100.00%,,110,100.00%,,292,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,WAYNE04,Wayne
GERALD (GARY) SAUNDERS,REP,,4,26.67%,,95,36.82%,,57,37.25%,,156,36.62%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE04,Wayne
MAX SMITH,REP,,4,26.67%,,80,31.01%,,47,30.72%,,131,30.75%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE04,Wayne
CATHY C. WILLIAMS,REP,,7,46.67%,,83,32.17%,,49,32.03%,,139,32.63%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE04,Wayne
NICOLE STULTS,,,12,100.00%,,124,100.00%,,78,100.00%,,214,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 1 - Vote for One (1) Only,WAYNE04,Wayne
AUSTIN BRANN,,,13,100.00%,,122,100.00%,,71,100.00%,,206,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 2 - Vote for One (1) Only,WAYNE04,Wayne
CATHY HILLARD,,,9,50.00%,,101,48.10%,,72,56.25%,,182,51.12%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE04,Wayne
AARON L. STEVENS,,,9,50.00%,,109,51.90%,,56,43.75%,,174,48.88%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER At-Large - Vote for Not More Than Two (2),WAYNE04,Wayne
YES,,,9,50.00%,,113,70.63%,,72,72.73%,,194,70.04%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE04,Wayne
NO,,,9,50.00%,,47,29.38%,,27,27.27%,,83,29.96%,JUSTICE of the SUPREME COURT JUSTICE LORETTA H. RUSH,WAYNE04,Wayne
YES,,,11,61.11%,,110,71.90%,,70,75.27%,,191,72.35%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE04,Wayne
NO,,,7,38.89%,,43,28.10%,,23,24.73%,,73,27.65%,JUSTICE of the SUPREME COURT JUSTICE MARK S. MASSA,WAYNE04,Wayne
YES,,,9,50.00%,,113,73.86%,,75,78.13%,,197,73.78%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE04,Wayne
NO,,,9,50.00%,,40,26.14%,,21,21.88%,,70,26.22%,JUSTICE of the SUPREME COURT JUSTICE DEREK READ MOLTER,WAYNE04,Wayne
YES,,,11,61.11%,,114,74.03%,,75,77.32%,,200,74.35%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE04,Wayne
NO,,,7,38.89%,,40,25.97%,,22,22.68%,,69,25.65%,INDIANA COURT of APPEALS FIRST DISTRICT JUDGE PETER R. FOLEY,WAYNE04,Wayne
YES,,,11,61.11%,,116,76.82%,,69,74.19%,,196,74.81%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE04,Wayne
NO,,,7,38.89%,,35,23.18%,,24,25.81%,,66,25.19%,INDIANA COURT of APPEALS FOURTH DISTRICT JUDGE RUDOLPH REGINALD PYLE III.,WAYNE04,Wayne
YES,,,2,25.00%,,49,53.26%,,39,47.56%,,90,49.45%,PUBLIC QUESTION #1,WAYNE05,Wayne
NO,,,6,75.00%,,43,46.74%,,43,52.44%,,92,50.55%,PUBLIC QUESTION #1,WAYNE05,Wayne
Republican Party,REP,,0,0.00%,,36,42.35%,,26,38.24%,,62,39.49%,STRAIGHT PARTY,WAYNE05,Wayne
Democratic Party,DEM,,4,100.00%,,47,55.29%,,36,52.94%,,87,55.41%,STRAIGHT PARTY,WAYNE05,Wayne
Libertarian Party,LIB,,0,0.00%,,0,0.00%,,1,1.47%,,1,0.64%,STRAIGHT PARTY,WAYNE05,Wayne
We the People Party,WTP,,0,0.00%,,2,2.35%,,5,7.35%,,7,4.46%,STRAIGHT PARTY,WAYNE05,Wayne
DONALD J. TRUMP JD VANCE,REP,,2,22.22%,,49,40.83%,,54,49.09%,,105,43.93%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
KAMALA D. HARRIS TIM WALZ,DEM,,7,77.78%,,71,59.17%,,51,46.36%,,129,53.97%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
CHASE OLIVER MIKE TER MAAT,LIB,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
ROBERT F. KENNEDY JR. NICOLE SHANAHAN,WTP,,0,0.00%,,0,0.00%,,5,4.55%,,5,2.09%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
ANDRE' RAMON MCNEIL SR. (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
CAROL ASHER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
CHERUNDA LYNN FOX (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
CLAUDIA DE LA CRUZ / KARINA GARCIA (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
COMEL WEST / MELINA ABDULLAH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
DOUG JENKINS (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
NALA BAOZUN SCOTT JOHNSON JR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
PAIJ BORING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
PETER SONSKI (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
SHONDRA IRVING (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
SUSAN MAUDE BUCHSER (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
TOM HOEFLING / ANDY PRIOR (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
WILLIAM CODY NALBACH (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,PRESIDENT and VICE-PRESIDENT of the UNITED STATES - Vote for One (1) Only,WAYNE05,Wayne
JIM BANKS,REP,,1,11.11%,,52,43.70%,,44,41.90%,,97,41.63%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE05,Wayne
VALERIE MCCRAY,DEM,,8,88.89%,,67,56.30%,,53,50.48%,,128,54.94%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE05,Wayne
ANDREW HORNING,LIB,,0,0.00%,,0,0.00%,,8,7.62%,,8,3.43%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE05,Wayne
ANTONIO XAVIER ALVAREZ (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE05,Wayne
PHILLIP D. BEACHY (PHIL) (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,UNITED STATES SENATOR - Vote for One (1) Only,WAYNE05,Wayne
MIKE BRAUN MICAH BECKWITH,REP,,2,22.22%,,44,37.29%,,45,42.86%,,91,39.22%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE05,Wayne
JENNIFER G. MCCORMICK TERRY GOODIN,DEM,,7,77.78%,,69,58.47%,,52,49.52%,,128,55.17%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE05,Wayne
DONALD RAINWATER TONYA HUDSON,LIB,,0,0.00%,,5,4.24%,,8,7.62%,,13,5.60%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE05,Wayne
CHRISTOPHER RYAN STRIED / NO CANDIDATE NAME (W),,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,GOVERNOR and LIEUTENANT GOVERNOR - Vote for One (1) Only,WAYNE05,Wayne
TODD ROKITA,REP,,1,11.11%,,50,42.02%,,45,43.27%,,96,41.38%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE05,Wayne
DESTINY WELLS,DEM,,8,88.89%,,69,57.98%,,59,56.73%,,136,58.62%,ATTORNEY GENERAL - Vote for One (1) Only,WAYNE05,Wayne
JEFFERSON SHREVE,REP,,3,33.33%,,49,41.18%,,47,44.76%,,99,42.49%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE05,Wayne
CYNTHIA (CINDE) WIRTH,DEM,,6,66.67%,,69,57.98%,,55,52.38%,,130,55.79%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE05,Wayne
JAMES MICHAEL SCENIAK,LIB,,0,0.00%,,1,0.84%,,3,2.86%,,4,1.72%,UNITED STATES REPRESENTATIVE in CONGRESS District 6 - Vote for One (1) Only,WAYNE05,Wayne
BRADFORD BARRETT,REP,,5,100.00%,,69,100.00%,,66,100.00%,,140,100.00%,STATE REPRESENTATIVE District 56 - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
RONALD J. (RON) MOORE,REP,,5,100.00%,,73,100.00%,,70,100.00%,,148,100.00%,JUDGE of the SUPERIOR COURT No.1 - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
TARA PEGG,REP,,6,100.00%,,72,100.00%,,69,100.00%,,147,100.00%,CLERK of the CIRCUIT COURT - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
BETH FIELDS,REP,,5,100.00%,,69,100.00%,,69,100.00%,,143,100.00%,COUNTY TREASURER - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
R. BRENT MEADOWS,REP,,5,100.00%,,68,100.00%,,68,100.00%,,141,100.00%,COUNTY CORONER - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
GORDON E. MOORE,REP,,6,100.00%,,68,100.00%,,65,100.00%,,139,100.00%,COUNTY SURVEYOR - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
AARON ROBERTS,REP,,6,100.00%,,68,100.00%,,62,100.00%,,136,100.00%,COUNTY COMMISSIONER District 2 - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
JEFF PLASTERER,REP,,5,100.00%,,70,100.00%,,64,100.00%,,139,100.00%,COUNTY COMMISSIONER District 3 - Vote for One (1) Only No DEM Filed,WAYNE05,Wayne
GERALD (GARY) SAUNDERS,REP,,4,30.77%,,40,37.38%,,32,36.78%,,76,36.71%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE05,Wayne
MAX SMITH,REP,,4,30.77%,,30,28.04%,,22,25.29%,,56,27.05%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE05,Wayne
CATHY C. WILLIAMS,REP,,5,38.46%,,37,34.58%,,33,37.93%,,75,36.23%,COUNTY COUNCIL MEMBER At-Large - Vote for Not More Than Three (3) No DEM Filed,WAYNE05,Wayne
NICOLE STULTS,,,5,100.00%,,52,100.00%,,54,100.00%,,111,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 1 - Vote for One (1) Only,WAYNE05,Wayne
AUSTIN BRANN,,,5,100.00%,,50,100.00%,,55,100.00%,,110,100.00%,RICHMOND COMMUNITY SCHOOL BOARD MEMBER District 2 - Vote for One (1) Only,WAYNE05,Wayne
